Player_Name,Nation,Position,Club,Age,Born,Matches_Played,Starts,Minutes_Played,Ninety_Mins_Played,Golas,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Made,Penalty_Attempted,Yellow_Card,Red_Card,Expected_Goals,Non_Penalty_Expected_Goals,Expected_Assists,Non_Penalty_Expected_Goals_Assits,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_90,Assists_90,Goals_Assists_90,Non_Penalty_Goals_90,Non_Penalty_Goals_Assists_90,Expected_Goals_90,Expected_Assists_90,Expected_Goals_Assists_90,Non_Penalty_Expected_Goals_90,Non_penalty_Expected_Goals_Assists_90
Niccolò Pisilli,ITA,MF,Roma,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tommaso Pobega,ITA,MF,Milan,24,1999,11,3,319,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,11,10,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12
Paul Pogba,FRA,MF,Juventus,30,1993,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Matteo Politano,ITA,FW,Napoli,29,1993,37,31,2360,26.2,8,7,15,6,2,3,2,1,7.1,4.8,6.6,11.4,113,164,216,0.31,0.27,0.57,0.23,0.50,0.27,0.25,0.52,0.18,0.43
Marin Pongračić,CRO,DF,Lecce,25,1997,36,36,3219,35.8,0,0,0,0,0,0,10,1,1.2,1.2,0.4,1.5,45,134,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Stefan Posch,AUT,DF,Bologna,26,1997,31,29,2409,26.8,1,2,3,1,0,0,7,0,1.2,1.2,2.1,3.3,44,123,64,0.04,0.07,0.11,0.04,0.11,0.04,0.08,0.12,0.04,0.12
Matteo Prati,ITA,MF,Cagliari,19,2003,26,19,1972,21.9,1,1,2,1,0,0,4,0,2.0,2.0,0.8,2.8,8,66,17,0.05,0.05,0.09,0.05,0.09,0.09,0.03,0.13,0.09,0.13
Ivan Provedel,ITA,GK,Lazio,29,1994,30,30,2699,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christian Pulisic,USA,"FW,MF",Milan,24,1998,36,32,2602,28.9,12,8,20,12,0,0,2,0,8.0,8.0,4.8,12.8,131,87,293,0.42,0.28,0.69,0.42,0.69,0.28,0.16,0.44,0.28,0.44
George Pușcaș,ROU,FW,Genoa,27,1996,8,1,191,2.1,0,0,0,0,0,0,0,0,2.1,2.1,0.1,2.2,5,3,17,0.00,0.00,0.00,0.00,0.00,0.98,0.04,1.02,0.98,1.02
Domingos Quina,POR,MF,Udinese,23,1999,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adrien Rabiot,FRA,MF,Juventus,28,1995,31,30,2651,29.5,5,3,8,5,0,0,8,0,3.5,3.4,4.1,7.4,72,120,106,0.17,0.10,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25
Uroš Račić,SRB,MF,Sassuolo,25,1998,22,8,820,9.1,1,1,2,1,0,0,1,0,0.8,0.8,0.3,1.1,5,37,11,0.11,0.11,0.22,0.11,0.22,0.09,0.03,0.13,0.09,0.13
Nemanja Radonjić,SRB,"MF,FW",Torino,27,1996,10,4,374,4.2,3,0,3,3,0,0,1,0,1.7,1.7,0.2,1.9,11,7,24,0.72,0.00,0.72,0.72,0.72,0.41,0.05,0.46,0.41,0.46
Boris Radunović,SRB,GK,Cagliari,27,1996,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hamza Rafia,TUN,MF,Lecce,24,1999,28,17,1204,13.4,1,0,1,1,0,0,4,0,0.8,0.8,0.8,1.6,15,46,37,0.07,0.00,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12
Ylber Ramadani,ALB,MF,Lecce,27,1996,34,34,2970,33.0,1,0,1,1,0,0,13,0,1.0,1.0,0.5,1.6,36,121,14,0.03,0.00,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05
Luca Ranieri,ITA,DF,Fiorentina,24,1999,26,23,2065,22.9,2,1,3,2,0,0,14,0,0.9,0.9,0.4,1.3,17,99,5,0.09,0.04,0.13,0.09,0.13,0.04,0.02,0.06,0.04,0.06
Filippo Ranocchia,ITA,"MF,DF",Empoli,22,2001,9,5,476,5.3,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.8,5,21,11,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14
Giacomo Raspadori,ITA,"FW,MF",Napoli,23,2000,37,14,1584,17.6,5,3,8,5,0,1,0,0,5.9,4.5,4.0,8.5,29,54,139,0.28,0.17,0.45,0.28,0.45,0.33,0.23,0.56,0.25,0.48
Federico Ravaglia,ITA,GK,Bologna,23,1999,6,6,535,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tijjani Reijnders,NED,MF,Milan,25,1998,36,33,2820,31.3,3,3,6,3,0,0,8,0,3.2,3.2,3.7,7.0,88,204,90,0.10,0.10,0.19,0.10,0.19,0.10,0.12,0.22,0.10,0.22
Reinier,BRA,"MF,FW",Frosinone,21,2002,22,13,1059,11.8,2,2,4,2,0,0,3,0,1.3,1.3,1.9,3.2,10,32,42,0.17,0.17,0.34,0.17,0.34,0.11,0.16,0.27,0.11,0.27
Mateo Retegui,ITA,FW,Genoa,24,1999,29,26,2216,24.6,7,2,9,6,1,1,5,0,5.8,5.0,0.7,5.8,18,17,112,0.28,0.08,0.37,0.24,0.32,0.24,0.03,0.27,0.20,0.24
Samuele Ricci,ITA,MF,Torino,21,2001,32,28,2395,26.6,1,2,3,1,0,0,8,1,1.3,1.3,2.3,3.6,47,122,73,0.04,0.08,0.11,0.04,0.11,0.05,0.09,0.13,0.05,0.13
Ricardo Rodríguez,SUI,DF,Torino,30,1992,35,34,2772,30.8,1,2,3,1,0,0,4,0,0.3,0.3,1.4,1.7,61,127,40,0.03,0.06,0.10,0.03,0.10,0.01,0.04,0.05,0.01,0.05
Alessio Romagnoli,ITA,DF,Lazio,28,1995,29,26,2411,26.8,0,0,0,0,0,0,9,0,0.6,0.6,0.6,1.1,7,87,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Simone Romagnoli,ITA,DF,Frosinone,33,1990,33,30,2715,30.2,1,1,2,1,0,0,6,0,1.2,1.2,0.4,1.6,2,47,2,0.03,0.03,0.07,0.03,0.07,0.04,0.01,0.05,0.04,0.05
Luka Romero,ARG,"FW,MF",Milan,18,2004,4,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,3,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Marten de Roon,NED,"MF,DF",Atalanta,32,1991,30,29,2599,28.9,0,5,5,0,0,0,10,0,0.6,0.6,1.2,1.8,28,178,22,0.00,0.17,0.17,0.00,0.17,0.02,0.04,0.06,0.02,0.06
Francesco Rossi,ITA,GK,Atalanta,32,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Rovella,ITA,MF,Lazio,21,2001,23,16,1318,14.6,0,2,2,0,0,0,6,0,0.6,0.6,0.5,1.1,21,56,11,0.00,0.14,0.14,0.00,0.14,0.04,0.03,0.08,0.04,0.08
Amir Rrahmani,KVX,DF,Napoli,29,1994,30,30,2600,28.9,3,0,3,3,0,0,5,0,2.2,2.2,0.9,3.1,19,113,4,0.10,0.00,0.10,0.10,0.10,0.08,0.03,0.11,0.08,0.11
Ruan,BRA,DF,Sassuolo,24,1999,26,16,1516,16.8,0,0,0,0,0,0,7,1,0.5,0.5,0.6,1.1,8,33,6,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Daniele Rugani,ITA,DF,Juventus,29,1994,17,13,1187,13.2,2,0,2,2,0,0,2,0,1.6,1.6,0.4,2.0,2,46,2,0.15,0.00,0.15,0.15,0.15,0.12,0.03,0.15,0.12,0.15
Matteo Ruggeri,ITA,DF,Atalanta,21,2002,34,28,2449,27.2,0,4,4,0,0,0,3,0,0.5,0.5,1.8,2.3,55,142,132,0.00,0.15,0.15,0.00,0.15,0.02,0.07,0.08,0.02,0.08
Mário Rui,POR,DF,Napoli,32,1991,21,14,1205,13.4,0,2,2,0,0,0,7,1,0.1,0.1,1.9,2.0,33,90,59,0.00,0.15,0.15,0.00,0.15,0.01,0.14,0.15,0.01,0.15
Stefano Sabelli,ITA,DF,Genoa,30,1993,32,30,2429,27.0,0,1,1,0,0,0,5,0,0.8,0.8,1.9,2.7,69,88,101,0.00,0.04,0.04,0.00,0.04,0.03,0.07,0.10,0.03,0.10
Alexis Saelemaekers,BEL,"FW,MF",Bologna,24,1999,30,21,1887,21.0,4,2,6,4,0,0,7,1,2.6,2.6,2.8,5.5,65,77,180,0.19,0.10,0.29,0.19,0.29,0.13,0.14,0.26,0.13,0.26
Lazar Samardzic,SRB,MF,Udinese,21,2002,34,28,2372,26.4,6,2,8,5,1,1,3,0,3.5,2.8,5.5,8.3,65,83,91,0.23,0.08,0.30,0.19,0.27,0.13,0.21,0.34,0.11,0.31
Junior Sambia,FRA,"DF,MF",Salernitana,26,1996,18,10,1032,11.5,1,2,3,1,0,0,4,0,0.5,0.5,0.9,1.4,23,41,37,0.09,0.17,0.26,0.09,0.26,0.05,0.07,0.12,0.05,0.12
Antonio Sanabria,PAR,"FW,MF",Torino,27,1996,35,23,2133,23.7,5,0,5,3,2,2,2,0,9.3,7.7,1.4,9.1,19,57,109,0.21,0.00,0.21,0.13,0.13,0.39,0.06,0.45,0.32,0.38
Renato Sanches,POR,MF,Roma,25,1997,7,1,146,1.6,1,0,1,1,0,0,2,0,0.1,0.1,0.2,0.3,5,10,5,0.62,0.00,0.62,0.62,0.62,0.05,0.14,0.19,0.05,0.19
Alexis Sánchez,CHI,"FW,MF",Inter,34,1988,23,6,763,8.5,2,5,7,1,1,1,0,0,3.2,2.5,3.1,5.6,16,53,58,0.24,0.59,0.83,0.12,0.71,0.38,0.37,0.75,0.29,0.66
Alex Sandro,BRA,DF,Juventus,32,1991,16,8,721,8.0,1,0,1,1,0,0,1,0,0.4,0.4,0.9,1.3,16,43,9,0.12,0.00,0.12,0.12,0.12,0.05,0.11,0.16,0.05,0.16
Nicola Sansone,ITA,"FW,MF",Lecce,31,1991,25,4,767,8.5,2,2,4,2,0,0,4,0,2.8,2.8,1.3,4.1,15,36,75,0.23,0.23,0.47,0.23,0.47,0.33,0.15,0.48,0.33,0.48
Riccardo Saponara,ITA,"FW,MF",Hellas Verona,31,1991,12,3,342,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,12,14,32,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Zanos Savva,CYP,"DF,MF",Torino,17,2005,2,0,28,0.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,1,3.21,0.00,3.21,3.21,3.21,0.51,0.00,0.51,0.51,0.51
Saba Sazonov,GEO,DF,Torino,21,2002,12,2,356,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Giorgio Scalvini,ITA,DF,Atalanta,19,2003,33,31,2544,28.3,1,3,4,1,0,0,3,0,1.4,1.4,1.1,2.5,30,116,33,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09
Gianluca Scamacca,ITA,FW,Atalanta,24,1999,29,17,1453,16.1,12,6,18,12,0,0,1,0,6.5,6.5,3.9,10.5,22,41,167,0.74,0.37,1.11,0.74,1.11,0.40,0.24,0.65,0.40,0.65
Perr Schuurs,NED,DF,Torino,23,1999,9,9,770,8.6,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,9,19,4,0.12,0.00,0.12,0.12,0.12,0.08,0.00,0.08,0.08,0.08
Simone Scuffet,ITA,GK,Cagliari,27,1996,31,31,2789,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Demba Seck,SEN,MF,Torino,22,2001,9,5,425,4.7,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.5,23,12,25,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10
Demba Seck,SEN,"FW,MF",Frosinone,22,2001,11,3,298,3.3,0,0,0,0,0,0,0,0,1.1,1.1,0.3,1.4,11,9,23,0.00,0.00,0.00,0.00,0.00,0.34,0.10,0.44,0.34,0.44
Nikola Sekulov,ITA,FW,Juventus,21,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vivaldo Semedo,POR,FW,Udinese,18,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stefano Sensi,ITA,MF,Inter,27,1995,4,0,46,0.5,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,4,0.00,1.96,1.96,0.00,1.96,0.16,0.25,0.42,0.16,0.42
Suat Serdar,GER,MF,Hellas Verona,26,1997,25,19,1659,18.4,0,2,2,0,0,0,7,0,1.0,1.0,1.4,2.4,20,68,36,0.00,0.11,0.11,0.00,0.11,0.05,0.07,0.13,0.05,0.13
Andres Sfait,ROU,"DF,MF",Salernitana,18,2004,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26
Stephan El Shaarawy,ITA,"FW,DF",Roma,30,1992,33,19,1738,19.3,3,4,7,3,0,0,2,0,2.5,2.5,2.3,4.8,46,44,131,0.16,0.21,0.36,0.16,0.36,0.13,0.12,0.25,0.13,0.25
Eldor Shomurodov,UZB,"FW,MF",Cagliari,28,1995,22,10,936,10.4,3,3,6,3,0,0,1,0,3.5,3.5,1.7,5.2,12,18,52,0.29,0.29,0.58,0.29,0.58,0.34,0.16,0.50,0.34,0.50
Steven Shpendi,ALB,"FW,MF",Empoli,20,2003,12,4,411,4.6,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.9,3,6,32,0.00,0.22,0.22,0.00,0.22,0.09,0.10,0.20,0.09,0.20
Marco Silvestri,ITA,GK,Udinese,32,1991,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Giovanni Simeone,ARG,FW,Napoli,28,1995,28,8,800,8.9,1,0,1,1,0,0,3,0,3.4,3.4,0.6,3.9,11,13,76,0.11,0.00,0.11,0.11,0.11,0.38,0.06,0.44,0.38,0.44
Jan-Carlo Simic,SRB,DF,Milan,18,2005,4,0,146,1.6,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,0,6,0,0.62,0.00,0.62,0.62,0.62,0.38,0.00,0.38,0.38,0.38
Leo Skiri Østigård,NOR,DF,Napoli,23,1999,25,18,1625,18.1,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,13,76,3,0.06,0.00,0.06,0.06,0.06,0.03,0.00,0.04,0.03,0.04
Łukasz Skorupski,POL,GK,Bologna,32,1991,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chris Smalling,ENG,DF,Roma,33,1989,8,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,13,2,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.10,0.01,0.10
Andrea Sodero,ITA,MF,Empoli,18,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ola Solbakken,NOR,FW,Roma,24,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniele Sommariva,ITA,GK,Genoa,26,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yann Sommer,SUI,GK,Inter,34,1988,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brandon Soppy,FRA,DF,Torino,21,2002,5,2,178,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,9,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Alessandro Sorrentino,ITA,GK,Monza,21,2002,7,5,548,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Riccardo Sottil,ITA,FW,Fiorentina,24,1999,22,13,1103,12.3,2,3,5,2,0,0,1,0,2.6,2.6,2.5,5.1,66,33,139,0.16,0.24,0.41,0.16,0.41,0.21,0.20,0.41,0.21,0.41
Matìas Soulé,ARG,"FW,MF",Frosinone,20,2003,36,36,3121,34.7,11,3,14,6,5,6,4,0,10.5,5.7,6.6,12.3,115,198,211,0.32,0.09,0.40,0.17,0.26,0.30,0.19,0.49,0.17,0.36
Djed Spence,ENG,DF,Genoa,22,2000,16,8,859,9.5,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,17,25,31,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04
Leonardo Spinazzola,ITA,DF,Roma,30,1993,24,15,1312,14.6,1,2,3,1,0,0,0,0,0.2,0.2,3.0,3.2,108,52,74,0.07,0.14,0.21,0.07,0.21,0.02,0.21,0.22,0.02,0.22
Marco Sportiello,ITA,GK,Milan,31,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trivante Stewart,JAM,"FW,MF",Salernitana,23,2000,4,0,100,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,0,6,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12
Gabriel Strefezza,BRA,FW,Lecce,26,1997,19,13,1112,12.4,1,0,1,0,1,1,4,0,2.5,1.7,1.2,2.8,34,54,81,0.08,0.00,0.08,0.00,0.00,0.20,0.09,0.29,0.14,0.23
Kevin Strootman,NED,MF,Genoa,33,1990,27,15,1207,13.4,0,2,2,0,0,0,4,0,0.1,0.1,1.3,1.4,13,61,22,0.00,0.15,0.15,0.00,0.15,0.01,0.10,0.10,0.01,0.10
Isaac Success,NGA,"FW,MF",Udinese,27,1996,27,9,880,9.8,1,1,2,1,0,1,4,0,2.7,1.9,1.1,3.0,15,17,51,0.10,0.10,0.20,0.10,0.20,0.28,0.11,0.39,0.20,0.31
Ibrahim Sulemana,GHA,MF,Cagliari,20,2003,21,16,1339,14.9,2,0,2,2,0,0,4,0,0.8,0.8,0.1,0.9,15,27,14,0.13,0.00,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06
Tomáš Suslov,SVK,"MF,FW",Hellas Verona,21,2002,32,23,2092,23.2,3,5,8,2,1,1,7,0,3.5,2.6,3.6,6.2,46,64,74,0.13,0.22,0.34,0.09,0.30,0.15,0.15,0.31,0.11,0.26
Mile Svilar,SRB,GK,Roma,23,1999,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karol Świderski,POL,"FW,MF",Hellas Verona,26,1997,15,3,504,5.6,2,0,2,2,0,0,0,0,1.7,1.7,0.4,2.2,3,13,19,0.36,0.00,0.36,0.36,0.36,0.31,0.08,0.39,0.31,0.39
Wojciech Szczęsny,POL,GK,Juventus,33,1990,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Przemysław Szymiński,POL,MF,Frosinone,29,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adrien Tameze,CMR,"DF,MF",Torino,29,1994,29,25,2146,23.8,0,2,2,0,0,0,6,1,0.7,0.7,2.2,2.9,22,90,39,0.00,0.08,0.08,0.00,0.08,0.03,0.09,0.12,0.03,0.12
Elayis Tavsan,NED,"MF,FW",Hellas Verona,22,2001,3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
Loum Tchaouna,FRA,"FW,MF",Salernitana,19,2003,33,23,2100,23.3,4,3,7,4,0,0,4,0,2.6,2.6,1.5,4.1,72,59,151,0.17,0.13,0.30,0.17,0.30,0.11,0.06,0.18,0.11,0.18
Jackson Tchatchoua,CMR,DF,Hellas Verona,21,2001,26,19,1725,19.2,0,2,2,0,0,0,2,0,0.0,0.0,1.3,1.3,34,53,66,0.00,0.10,0.10,0.00,0.10,0.00,0.07,0.07,0.00,0.07
Filippo Terracciano,ITA,DF,Hellas Verona,20,2003,18,14,1296,14.4,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,26,51,28,0.00,0.07,0.07,0.00,0.07,0.02,0.07,0.09,0.02,0.09
Filippo Terracciano,ITA,"DF,FW",Milan,20,2003,3,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pietro Terracciano,ITA,GK,Fiorentina,33,1990,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Florian Thauvin,FRA,FW,Udinese,30,1993,29,19,1710,19.0,5,3,8,4,1,1,4,0,4.7,3.9,4.2,8.2,71,69,97,0.26,0.16,0.42,0.21,0.37,0.25,0.22,0.47,0.21,0.43
Malick Thiaw,GER,DF,Milan,21,2001,21,19,1619,18.0,0,1,1,0,0,0,5,1,0.6,0.6,0.1,0.7,15,70,1,0.00,0.06,0.06,0.00,0.06,0.03,0.01,0.04,0.03,0.04
Morten Thorsby,NOR,MF,Genoa,27,1996,24,9,1157,12.9,2,2,4,2,0,0,2,0,1.8,1.8,1.4,3.2,6,28,39,0.16,0.16,0.31,0.16,0.31,0.14,0.11,0.25,0.14,0.25
Kristian Thorstvedt,NOR,MF,Sassuolo,24,1999,34,30,2397,26.6,6,1,7,6,0,0,7,0,4.4,4.4,1.6,5.9,30,130,94,0.23,0.04,0.26,0.23,0.26,0.16,0.06,0.22,0.16,0.22
Marcus Thuram,FRA,FW,Inter,25,1997,35,34,2687,29.9,13,7,20,13,0,0,3,0,14.3,14.3,3.7,18.0,68,47,192,0.44,0.23,0.67,0.44,0.67,0.48,0.12,0.60,0.48,0.60
Antonio Tikvić,CRO,DF,Udinese,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeremy Toljan,GER,DF,Sassuolo,28,1994,25,24,2083,23.1,0,5,5,0,0,0,1,0,0.6,0.6,1.6,2.1,35,79,85,0.00,0.22,0.22,0.00,0.22,0.02,0.07,0.09,0.02,0.09
Rafael Tolói,ITA,DF,Atalanta,32,1990,18,10,965,10.7,0,0,0,0,0,0,6,1,0.1,0.1,0.1,0.1,8,53,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Fikayo Tomori,ENG,DF,Milan,25,1997,26,24,2121,23.6,4,0,4,4,0,0,8,1,3.7,3.7,0.2,3.9,16,63,2,0.17,0.00,0.17,0.17,0.17,0.16,0.01,0.16,0.16,0.16
Ahmed Touba,ALG,DF,Lecce,25,1998,6,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Chaka Traorè,CIV,FW,Milan,18,2004,2,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2,4.50,0.00,4.50,4.50,4.50,0.35,0.00,0.35,0.35,0.35
Stefano Turati,ITA,GK,Frosinone,21,2001,31,31,2745,30.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kacper Urbanski,POL,"MF,FW",Bologna,18,2004,22,9,926,10.3,0,1,1,0,0,0,2,0,1.1,1.1,0.8,1.9,25,31,78,0.00,0.10,0.10,0.00,0.10,0.10,0.08,0.19,0.10,0.19
Emanuele Valeri,ITA,DF,Frosinone,24,1998,16,14,1178,13.1,0,1,1,0,0,0,3,0,0.9,0.9,2.4,3.3,38,41,61,0.00,0.08,0.08,0.00,0.08,0.07,0.19,0.25,0.07,0.25
Johan Vásquez,MEX,DF,Genoa,24,1998,37,32,2850,31.7,1,1,2,1,0,0,6,0,1.9,1.9,0.8,2.7,29,81,61,0.03,0.03,0.06,0.03,0.06,0.06,0.03,0.08,0.06,0.08
Matías Vecino,URU,MF,Lazio,31,1991,31,8,1153,12.8,6,1,7,6,0,0,8,0,3.7,3.7,0.4,4.1,16,74,43,0.47,0.08,0.55,0.47,0.55,0.29,0.03,0.32,0.29,0.32
Lorenzo Venuti,ITA,DF,Lecce,28,1995,14,3,364,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,7,16,15,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10
Simone Verdi,ITA,FW,Torino,31,1992,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.50,0.00,1.50
Emanuel Vignato,ITA,"MF,FW",Salernitana,22,2000,9,3,311,3.5,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.4,5,11,14,0.00,0.29,0.29,0.00,0.29,0.01,0.10,0.11,0.01,0.11
Samuele Vignato,ITA,"MF,FW",Monza,19,2004,10,3,343,3.8,1,0,1,1,0,0,2,0,1.7,1.7,0.2,1.8,13,13,20,0.26,0.00,0.26,0.26,0.26,0.44,0.04,0.48,0.44,0.48
